training start time: 2023-09-22 12:56 KST
RESUME_TRAINING: False
batch_size: 64
learning_rate: 0.0001
batch_idx: 0
loss: 5.749111175537109
batch_idx: 10
loss: 3.0361435413360596
batch_idx: 20
loss: 1.4902374744415283
batch_idx: 30
loss: 1.3457753658294678
batch_idx: 40
loss: 1.3264800310134888
batch_idx: 50
loss: 1.1102385520935059
batch_idx: 60
loss: 0.9878972768783569
batch_idx: 70
loss: 1.1054267883300781
batch_idx: 80
loss: 1.18599534034729
batch_idx: 90
loss: 1.1461124420166016
batch_idx: 100
loss: 2.3672473430633545
batch_idx: 110
loss: 1.3421249389648438
batch_idx: 120
loss: 1.3679444789886475
batch_idx: 130
loss: 1.667592167854309
batch_idx: 140
loss: 2.126711368560791
batch_idx: 150
loss: 1.4441274404525757
batch_idx: 160
loss: 1.162229299545288
batch_idx: 170
loss: 1.4362410306930542
batch_idx: 180
loss: 1.5783424377441406
batch_idx: 190
loss: 0.8686336278915405
batch_idx: 200
loss: 1.39210844039917
batch_idx: 210
loss: 1.6752424240112305
batch_idx: 220
loss: 1.703134298324585
batch_idx: 230
loss: 1.1066056489944458
batch_idx: 240
loss: 1.057668685913086
batch_idx: 250
loss: 1.7445939779281616
batch_idx: 260
loss: 1.2142120599746704
batch_idx: 270
loss: 0.9200112819671631
batch_idx: 280
loss: 1.0679149627685547
batch_idx: 290
loss: 1.8493655920028687
batch_idx: 300
loss: 1.3454277515411377
batch_idx: 310
loss: 1.5018311738967896
batch_idx: 320
loss: 1.3595021963119507
batch_idx: 330
loss: 1.2828460931777954
batch_idx: 340
loss: 1.2275549173355103
batch_idx: 350
loss: 1.2836837768554688
batch_idx: 360
loss: 1.5414822101593018
batch_idx: 370
loss: 1.3782477378845215
batch_idx: 380
loss: 1.0546088218688965
batch_idx: 390
loss: 1.641983985900879
batch_idx: 400
loss: 0.9426813125610352
batch_idx: 410
loss: 1.063091516494751
batch_idx: 420
loss: 1.2470531463623047
batch_idx: 430
loss: 1.4660242795944214
batch_idx: 440
loss: 1.4572917222976685
batch_idx: 450
loss: 0.859208345413208
batch_idx: 460
loss: 1.5493791103363037
batch_idx: 470
loss: 1.1634646654129028
batch_idx: 480
loss: 1.3509047031402588
batch_idx: 490
loss: 1.603596806526184
batch_idx: 500
loss: 1.98363196849823
batch_idx: 510
loss: 1.350943922996521
batch_idx: 520
loss: 1.3453047275543213
batch_idx: 530
loss: 1.236762523651123
batch_idx: 540
loss: 0.8500627279281616
